cum_buys_sol,entry_price_sol,tokens_for_1sol,eff_cost_sol,price_after_sol,nav_sol,redeem_price_after_fees_sol,backing_pct,pool_sol,instant_roundtrip_sol,instant_pnl_pct
1,1e-05,95268.38847,1.049666123e-05,1.027007467e-05,1.049666123e-05,9.866861559e-06,102.2062796,1,0.94,-6
2,1.027007467e-05,89709.04976,1.114714739e-05,1.054744337e-05,1.081212941e-05,1.016340165e-05,102.5094805,2,0.9117491039,-8.825089614
3,1.054744337e-05,88378.91822,1.131491559e-05,1.08323031e-05,1.097468535e-05,1.031620423e-05,101.3144227,3,0.9117349697,-8.826503026
4,1.08323031e-05,87485.47708,1.143046862e-05,1.112485616e-05,1.108518921e-05,1.042007786e-05,99.64343851,4,0.9116054826,-8.839451736
5,1.112485616e-05,86036.65657,1.162295282e-05,1.142531035e-05,1.11887238e-05,1.051740038e-05,97.92927687,5,0.9048819642,-9.511803582
6,1.142531035e-05,83774.12954,1.193685933e-05,1.173387904e-05,1.130683196e-05,1.062842204e-05,96.36056348,6,0.8903868051,-10.96131949
7,1.173387904e-05,81571.10074,1.225924367e-05,1.205078139e-05,1.143372883e-05,1.07477051e-05,94.87956388,7,0.8767021352,-12.32978648
8,1.205078139e-05,79545.60187,1.257140529e-05,1.234526486e-05,1.156454868e-05,1.087067576e-05,93.67598674,8,0.8647144458,-13.52855542
9,1.234526486e-05,78269.28655,1.277640367e-05,1.247985346e-05,1.168772565e-05,1.098646211e-05,93.6527475,9,0.8599025512,-14.00974488
10,1.247985346e-05,77457.53357,1.291030006e-05,1.260482166e-05,1.179946374e-05,1.109149591e-05,93.61071549,10,0.8591199171,-14.08800829
11,1.260482166e-05,76728.6804,1.303293625e-05,1.271553726e-05,1.190186601e-05,1.118775405e-05,93.60096836,11,0.8584216046,-14.15783954
12,1.271553726e-05,76080.47412,1.314397697e-05,1.281758526e-05,1.199633756e-05,1.12765573e-05,93.59280485,12,0.857925826,-14.2074174
13,1.281758526e-05,75491.25574,1.32465673e-05,1.29122807e-05,1.208406921e-05,1.135902506e-05,93.58586214,13,0.8575070657,-14.24929343
14,1.29122807e-05,74951.53254,1.334195534e-05,1.300065595e-05,1.216599895e-05,1.143603902e-05,93.57988552,14,0.8571486505,-14.28513495
15,1.300065595e-05,74453.91021,1.343112803e-05,1.308353748e-05,1.224287918e-05,1.150830643e-05,93.57468651,15,0.8568384135,-14.31615865
16,1.308353748e-05,73992.51832,1.351487992e-05,1.316159752e-05,1.231532294e-05,1.157640357e-05,93.57012267,16,0.8565672529,-14.34327471
17,1.316159752e-05,73562.62065,1.359386046e-05,1.323539043e-05,1.238383657e-05,1.164080637e-05,93.56608432,17,0.8563282233,-14.36717767
18,1.323539043e-05,73160.34221,1.366860747e-05,1.330537891e-05,1.244884324e-05,1.170191264e-05,93.56248566,18,0.8561159335,-14.38840665
19,1.330537891e-05,72782.47353,1.373957151e-05,1.337195328e-05,1.251070035e-05,1.176005833e-05,93.55925861,19,0.8559261342,-14.40738658
20,1.337195328e-05,72426.32733,1.380713391e-05,1.343544591e-05,1.256971259e-05,1.181552983e-05,93.55634844,20,0.8557554313,-14.42445687
21,1.343544591e-05,72089.63169,1.387162032e-05,1.349614223e-05,1.262614185e-05,1.186857334e-05,93.55371067,21,0.8556010809,-14.43989191
22,1.349614223e-05,71770.44915,1.393331116e-05,1.355428923e-05,1.268021497e-05,1.191940208e-05,93.55130878,22,0.8554608406,-14.45391594
23,1.355428923e-05,71467.11451,1.399244963e-05,1.361010213e-05,1.273212975e-05,1.196820196e-05,93.54911247,23,0.8553328603,-14.46671397
24,1.361010213e-05,71178.1864,1.40492481e-05,1.366376959e-05,1.278205972e-05,1.201513614e-05,93.54709645,24,0.8552155996,-14.47844004
25,1.366376959e-05,70902.4091,1.410389312e-05,1.3715458e-05,1.283015802e-05,1.206034854e-05,93.54523939,25,0.8551077659,-14.48922341
26,1.3715458e-05,70638.68219,1.415654948e-05,1.376531482e-05,1.287656046e-05,1.210396683e-05,93.54352321,26,0.8550082664,-14.49917336
27,1.376531482e-05,70386.0361,1.42073635e-05,1.381347139e-05,1.292138808e-05,1.21461048e-05,93.54193246,27,0.8549161707,-14.50838293
28,1.381347139e-05,70143.61227,1.425646567e-05,1.386004524e-05,1.296474922e-05,1.218686427e-05,93.54045388,28,0.8548306822,-14.51693178
29,1.386004524e-05,69910.64695,1.430397291e-05,1.390514191e-05,1.300674126e-05,1.222633679e-05,93.53907601,29,0.8547511145,-14.52488855
30,1.390514191e-05,69686.4578,1.434999039e-05,1.39488566e-05,1.304745204e-05,1.226460492e-05,93.5377889,30,0.8546768731,-14.53231269
31,1.39488566e-05,69470.43282,1.439461307e-05,1.399127545e-05,1.308696109e-05,1.230174343e-05,93.53658387,31,0.8546074404,-14.53925596
32,1.399127545e-05,69262.02103,1.443792695e-05,1.403247667e-05,1.312534067e-05,1.233782023e-05,93.53545331,32,0.854542364,-14.5457636
33,1.403247667e-05,69060.72469,1.448001023e-05,1.407253151e-05,1.316265658e-05,1.237289719e-05,93.53439053,33,0.8544812464,-14.55187536
34,1.407253151e-05,68866.09269,1.452093419e-05,1.411150505e-05,1.319896899e-05,1.240703086e-05,93.5333896,34,0.8544237369,-14.55762631
35,1.411150505e-05,68677.71496,1.456076401e-05,1.414945688e-05,1.323433301e-05,1.244027303e-05,93.53244529,35,0.8543695252,-14.56304748
36,1.414945688e-05,68495.21763,1.459955942e-05,1.418644174e-05,1.326879926e-05,1.247267131e-05,93.53155292,36,0.8543183356,-14.56816644
37,1.418644174e-05,68318.25895,1.463737536e-05,1.422251003e-05,1.330241437e-05,1.250426951e-05,93.53070832,37,0.8542699222,-14.57300778
38,1.422251003e-05,68146.52574,1.467426239e-05,1.425770823e-05,1.333522136e-05,1.253510808e-05,93.52990775,38,0.8542240652,-14.57759348
39,1.425770823e-05,67979.73029,1.471026725e-05,1.429207935e-05,1.336726002e-05,1.256522442e-05,93.52914786,39,0.8541805672,-14.58194328
40,1.429207935e-05,67817.6077,1.474543314e-05,1.43256632e-05,1.339856725e-05,1.259465322e-05,93.52842562,40,0.8541392508,-14.58607492
41,1.43256632e-05,67659.91354,1.477980015e-05,1.435849678e-05,1.342917729e-05,1.262342665e-05,93.52773831,41,0.854099956,-14.5900044
42,1.435849678e-05,67506.42184,1.481340549e-05,1.439061447e-05,1.345912201e-05,1.265157469e-05,93.52708345,42,0.8540625378,-14.59374622
43,1.439061447e-05,67356.92323,1.484628383e-05,1.442204834e-05,1.34884311e-05,1.267912523e-05,93.5264588,43,0.8540268649,-14.59731351
44,1.442204834e-05,67211.22342,1.487846745e-05,1.445282829e-05,1.351713229e-05,1.270610435e-05,93.52586231,44,0.8539928181,-14.60071819
45,1.445282829e-05,67069.14177,1.490998653e-05,1.448298228e-05,1.354525149e-05,1.27325364e-05,93.52529212,45,0.8539602887,-14.60397113
46,1.448298228e-05,66930.51004,1.494086926e-05,1.45125365e-05,1.357281297e-05,1.27584442e-05,93.52474653,46,0.8539291773,-14.60708227
47,1.45125365e-05,66795.17131,1.497114208e-05,1.454151548e-05,1.359983951e-05,1.278384914e-05,93.52422398,47,0.8538993933,-14.61006067
