sell_n,tokens_sold,seller_receives_sol,nav_sol,redeem_price_sol,price_frozen_sol,pool_sol
1,59038.05564,0.940000001,1.693992442e-05,1.592352895e-05,1.811530683e-05,499.05
2,59032.1406,0.940000001,1.694162504e-05,1.592512754e-05,1.811530683e-05,498.1
3,59026.21487,0.940000001,1.694332909e-05,1.592672934e-05,1.811530683e-05,497.15
4,59020.27841,0.940000001,1.694503657e-05,1.592833438e-05,1.811530683e-05,496.2
5,59014.33118,0.940000001,1.69467475e-05,1.592994265e-05,1.811530683e-05,495.25
6,59008.37315,0.940000001,1.694846189e-05,1.593155417e-05,1.811530683e-05,494.3
7,59002.40427,0.940000001,1.695017975e-05,1.593316897e-05,1.811530683e-05,493.35
8,58996.42449,0.940000001,1.695190111e-05,1.593478704e-05,1.811530683e-05,492.4
9,58990.43379,0.940000001,1.695362597e-05,1.593640841e-05,1.811530683e-05,491.45
10,58984.43212,0.940000001,1.695535434e-05,1.593803308e-05,1.811530683e-05,490.5
11,58978.41944,0.940000001,1.695708625e-05,1.593966107e-05,1.811530683e-05,489.55
12,58972.3957,0.940000001,1.69588217e-05,1.594129239e-05,1.811530683e-05,488.6
13,58966.36086,0.940000001,1.696056071e-05,1.594292706e-05,1.811530683e-05,487.65
14,58960.31489,0.940000001,1.696230329e-05,1.594456509e-05,1.811530683e-05,486.7
15,58954.25774,0.940000001,1.696404946e-05,1.594620649e-05,1.811530683e-05,485.75
16,58948.18937,0.940000001,1.696579923e-05,1.594785128e-05,1.811530683e-05,484.8
17,58942.10973,0.940000001,1.696755262e-05,1.594949947e-05,1.811530683e-05,483.85
18,58936.01878,0.940000001,1.696930964e-05,1.595115107e-05,1.811530683e-05,482.9
19,58929.91648,0.940000001,1.697107031e-05,1.595280609e-05,1.811530683e-05,481.95
20,58923.80278,0.940000001,1.697283464e-05,1.595446456e-05,1.811530683e-05,481
21,58917.67765,0.940000001,1.697460264e-05,1.595612648e-05,1.811530683e-05,480.05
22,58911.54103,0.940000001,1.697637434e-05,1.595779188e-05,1.811530683e-05,479.1
23,58905.39288,0.940000001,1.697814974e-05,1.595946075e-05,1.811530683e-05,478.15
24,58899.23316,0.940000001,1.697992886e-05,1.596113313e-05,1.811530683e-05,477.2
25,58893.06183,0.940000001,1.698171171e-05,1.596280901e-05,1.811530683e-05,476.25
26,58886.87883,0.940000001,1.698349832e-05,1.596448842e-05,1.811530683e-05,475.3
27,58880.68412,0.940000001,1.69852887e-05,1.596617138e-05,1.811530683e-05,474.35
28,58874.47766,0.940000001,1.698708286e-05,1.596785788e-05,1.811530683e-05,473.4
29,58868.2594,0.940000001,1.698888081e-05,1.596954796e-05,1.811530683e-05,472.45
30,58862.0293,0.940000001,1.699068258e-05,1.597124162e-05,1.811530683e-05,471.5
